ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWERS;POINTS
1;In which year FC Barcelona have been founded?;1900;1910;1899;1890;3;1
2;Which country won the first ever World Cup in 1930?;Brazil;Germany;England;Uruguay;4;2
3;Which club has won the most Champions League titles?;Real Madrid;FC Barcelona;AC Milan;Liverpool FC;1;1
4;With 365 goals, who holds the record for top Bundesliga goalscorer of all time?;Robert Lewandowski;Gerd Muller;Jupp Heynckes;Klaus Fischer;2;2
5;Which two non-English clubs have played in the Premier League?;Cardiff City;Newport County;Swansea City;Wrexham FC;1,3;1
6;Which stadiums have hosted the Champions League Final?;Wembley, London;Stadio Olimpico, Rome;San Siro, Milan;Stamford Bridge, London;1,2,3;1
7;Which three players shared the Premier League Golden Boot in 2018-19?;Pierre-Emerick Aubameyang;Mohamed Salah;Jamie Vardy;Sadio Mane;1,2,4;1
8;Which colours did Manchester United sport before donning the famous red jersey?;Green and gold;Blue and yellow;Orange and black;White and black;1;3
9;Which player has the most Golden Ball Awards?;Johan Cruijff;Alfredo Di Stefano;Ronaldo Nazario;Franz Beckenbauer;1;3
10;Which clubs won European Cup at least once in their history?;Nottingham Forest;Atletico Madrid;Partizan Belgrade;Panathinaikos Athens;1,3;3
